asis_path,asis_filename,tobe_path,tobe_filename,진행상태,결함여부,삭제대상여부,비고1,비고2,비고2.5,비고3,비고4,비고5
,,src/HeadlessDCGO.Engine/Headless/Bridge/ActivatedHashtableBridge.cs,ActivatedHashtableBridge.cs,,Y,Y,,AS-IS StackSkillInfos 페이로드 재구성 배관 — 파일 헤더가 명시하듯 각 EffectTiming을 CardEffectCommons.OnAttackCheckHashtableOfPermanent/OnDeletionHashtable/OnPlayCheckHashtableOfCard 등 실제 AS-IS 빌더(HashtableSetting.cs·AttackProcess.cs·CardController.cs 각 라인 인용)로 직접 위임하는 GameEvent→Hashtable 번역 배관(AS-IS 무명의 신규 브릿지 타입이지만 값은 AS-IS 빌더 그대로 재사용),other,DCGO/Assets/Scripts/Script/CardEffectCommons/HashtableSetting.cs::CardEffectCommons(partial): OnAttackCheckHashtableOfPermanent / OnDeletionHashtable / OnPlayCheckHashtableOfCard / WhenDigivolvingCheckHashtableOfCard / OptionMainCheckHashtable / WouldEnterFieldHashtable@310/85/213/232/251/178,,
,,src/HeadlessDCGO.Engine/Headless/Bridge/AmbientMatchContext.cs,AmbientMatchContext.cs,,,,,AS-IS 무대응 순수 substrate — AS-IS 프로세스-전역 싱글턴 GManager.instance(GManager.cs:211)를 async 호출망을 따라 흐르는 AsyncLocal<EngineContext>로 대체하는 headless 전용 매치-스코프 배관(다중 동시 매치를 안전화하기 위해 헤드리스화에서만 필요),Unity대체,,,
,,src/HeadlessDCGO.Engine/Headless/Bridge/BareCauseEffect.cs,BareCauseEffect.cs,,,,,AS-IS Assets/Scripts/Script/CardEffectCommons/ContinuousAndRestrictionEffects.cs에서 그대로 옮겨온(byte-identical) 최소 cause-carrier — AS-IS 자체엔 독립 타입이 없고 실제 causing ICardEffect 또는 null을 스레드하는 관례를 대체하는 headless 전용 substrate(파일 헤더 명시),Unity대체,,,
,,src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs,ContinuousContext.cs,,,,,"AS-IS 무대응 순수 substrate — 매치 설정(플레이어 목록/덱/시드/메모리 범위 등)을 담는 headless 전용 불변 설정 레코드로, AS-IS의 씬-상주 ContinuousController/GManager 초기화 파라미터를 DI 가능한 형태로 옮긴 headless 실행 인프라(직접 대응 AS-IS 코드 파일 없음)",RL api,,,
,,src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs,EngineContext.cs,,,,,AS-IS 무대응 순수 substrate — GManager.instance(GManager.cs)가 소유하는 turnStateMachine/attackProcess/autoProcessing 등 AS-IS 씬-싱글턴 배선을 DI 컨테이너로 치환한 headless 매치 실행 컨텍스트(서비스 레지스트리·EffectScheduler·GameEventQueue 등 실행 배관 총합체),Unity대체,,,
,,src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs,GManagerBridge.cs,,,,,"AS-IS GManager 싱글턴(GManager.cs:211 public static GManager instance, turnStateMachine/attackProcess/autoProcessing 필드)의 headless 번역 — EngineContext의 서비스를 GManager.instance.* 관례와 동일한 이름의 프로퍼티/Get 메서드로 재노출하는 얇은 어댑터",Unity대체,,,
,,src/HeadlessDCGO.Engine/Headless/Bridge/PayCostRoot.cs,PayCostRoot.cs,,,,,"AS-IS ChangeCostClass의 rootCondition 개념(Hand-play vs digivolve vs option 비용원 구분, docs/porting/before_pay_cost_root_gating_design.md 인용)을 표현하는 열거형 — AS-IS 조건 로직의 headless 재현이며 substrate 헬퍼가 아닌 게임 판정 개념의 이전",Unity대체,,,
,,src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs,UnityNullObjectPolicy.cs,,,,,"AS-IS 무대응 순수 substrate — Unity 전용 접근(렌더링/UI/씬수명주기/애니메이션/오디오/카메라/네트워킹/GameObject transform/전역 싱글턴 등)을 headless 실행에서 제외하거나 서비스로 치환할지 분류하는 정책 엔진(어떤 AS-IS 게임로직도 옮기지 않음, headless화 판정 인프라 자체)",Unity대체,,,
,,src/HeadlessDCGO.Engine/Headless/Choices/ChoiceCandidate.cs,ChoiceCandidate.cs,,,,,"AS-IS 무대응 순수 substrate — 선택지 UI 후보(SelectHandEffect/SelectPermanentEffect 등 AS-IS 선택 이펙트가 화면에 그리는 개별 카드/퍼머넌트)를 headless 선택 프로토콜의 불변 레코드로 표현하는 데이터 캐리어(AS-IS엔 대응 코드 없음, Unity UI 렌더링 대체)",Photon대체,,,
,,src/HeadlessDCGO.Engine/Headless/Choices/ChoiceCompletability.cs,ChoiceCompletability.cs,,,,,AS-IS SelectHandEffect.active()/SetTargetHandCards(null)→_noSelect 강제-선택 무산 로직(SelectHandEffect.cs:147-160·496-570·595-608)의 결정론적 headless 번역 — 파일 docstring이 AS-IS 앵커를 직접 인용하며 AI 분기의 유한 재시도(SelectPermanentEffect.cs:629-684)를 세션-오픈 시점 완성가능성 판정으로 옮긴 게임로직 재하우징,Photon대체,,,
,,src/HeadlessDCGO.Engine/Headless/Choices/ChoiceOption.cs,ChoiceOption.cs,,,,,"AS-IS 무대응 순수 substrate — ChoiceCandidate를 에이전트에 노출하는 축약 옵션 레코드(선택 UI 표시용 데이터 캐리어, AS-IS 대응 코드 없음)",Photon대체,,,
